created_at,content,lang,username,Cleaning,HapusEmoji,3/Lebih,CaseFolding,Normalization,Translated_Text,Sentiment_Label,Tokenizing,Stopword_Removal,Stemming
Mon May 13 11:17:26 +0000 2024,pernah ada denger kejadian serupa jg di sini:((( sumpah semenjak kerja di luar jawa makin makin melek sm ketimpangan infrastruktur akses jalan banyak yg ga layak yaAllah nangis pemerentahnya malah megahin IKN anjrit dosa bgt,in,lafndeur,pernah ada denger kejadian serupa jg di sini     sumpah semenjak kerja di luar jawa makin makin melek sm ketimpangan infrastruktur akses jalan banyak yg ga layak yaAllah nangis pemerentahnya malah megahin IKN anjrit dosa bgt,pernah ada denger kejadian serupa jg di sini     sumpah semenjak kerja di luar jawa makin makin melek sm ketimpangan infrastruktur akses jalan banyak yg ga layak yaAllah nangis pemerentahnya malah megahin IKN anjrit dosa bgt,pernah ada denger kejadian serupa jg di sini sumpah semenjak kerja di luar jawa makin makin melek sm ketimpangan infrastruktur akses jalan banyak yg ga layak yaAllah nangis pemerentahnya malah megahin IKN anjrit dosa bgt,pernah ada denger kejadian serupa jg di sini sumpah semenjak kerja di luar jawa makin makin melek sm ketimpangan infrastruktur akses jalan banyak yg ga layak yaallah nangis pemerentahnya malah megahin ikn anjrit dosa bgt,pernah ada denger kejadian serupa juga di sini sumpah semenjak kerja di luar jawa makin makin melek sm ketimpangan infrastruktur akses jalan banyak yang ga layak yaallah menangis pemerentahnya bahkan megahin ibu kota nusantara anjing dosa banget,There was once heard a similar incident here I swear since working outside Java increasingly literate sm's infrastructure inequality access roads many are not worthy,Positive,"['pernah', 'ada', 'denger', 'kejadian', 'serupa', 'juga', 'di', 'sini', 'sumpah', 'semenjak', 'kerja', 'di', 'luar', 'jawa', 'makin', 'makin', 'melek', 'sm', 'ketimpangan', 'infrastruktur', 'akses', 'jalan', 'banyak', 'yang', 'ga', 'layak', 'yaallah', 'menangis', 'pemerentahnya', 'bahkan', 'megahin', 'ibu', 'kota', 'nusantara', 'anjing', 'dosa', 'banget']",denger kejadian sumpah semenjak kerja jawa melek sm ketimpangan infrastruktur akses jalan layak menangis pemerentahnya megahin kota nusantara anjing dosa banget,denger jadi sumpah semenjak kerja jawa melek sm timpang infrastruktur akses jalan layak menang entah megahin kota nusantara anjing dosa banget
Mon May 13 11:13:59 +0000 2024,@geloraco Dia lupa kalo yang bakal mayoritas di IKN itu adalah PNS Umbi-umbian ya rakyat juga itungannya,in,si4riNew,Dia lupa kalo yang bakal mayoritas di IKN itu adalah PNS Umbi umbian ya rakyat juga itungannya,Dia lupa kalo yang bakal mayoritas di IKN itu adalah PNS Umbi umbian ya rakyat juga itungannya,Dia lupa kalo yang bakal mayoritas di IKN itu adalah PNS Umbi umbian ya rakyat juga itungannya,dia lupa kalo yang bakal mayoritas di ikn itu adalah pns umbi umbian ya rakyat juga itungannya,dia lupa kalau yang bakal mayoritas di ibu kota nusantara itu adalah pns umbi umbian iya rakyat juga itungannya,"he forgot that the majority of the capital city of the archipelago was a tubers of the umbian tubers, yes, the people were also the people",Negative,"['dia', 'lupa', 'kalau', 'yang', 'bakal', 'mayoritas', 'di', 'ibu', 'kota', 'nusantara', 'itu', 'adalah', 'pns', 'umbi', 'umbian', 'iya', 'rakyat', 'juga', 'itungannya']",lupa mayoritas kota nusantara pns umbi umbian iya rakyat itungannya,lupa mayoritas kota nusantara pns umbi umbi iya rakyat itungannya
Mon May 13 11:12:49 +0000 2024,@DokterTifa @gibran_tweet Anak Abah bahas IKN ,in,AbdulGo35956941,Anak Abah bahas IKN,Anak Abah bahas IKN,Anak Abah bahas IKN,anak abah bahas ikn,anak abah bahas ibu kota nusantara,ABAH CHILDREN DISEASE THE CITIZENS OF NUSANTARA,Negative,"['anak', 'abah', 'bahas', 'ibu', 'kota', 'nusantara']",anak abah bahas kota nusantara,anak abah bahas kota nusantara
Mon May 13 11:12:42 +0000 2024,@JSTrikukuh Very easy. Krn kekuatan politik jokowi di parlemen tak ada. Jika publik mocking soal makan siang gratis yang entah jadi atau nggak itu mau tak mau IKN yg harus dikorbankan dan konsekwensi lanjutannya mangkrak. Jika mangkrak jokowi ke KPK.,in,VeritasArdentur,Very easy  Krn kekuatan politik jokowi di parlemen tak ada  Jika publik mocking soal makan siang gratis yang entah jadi atau nggak itu mau tak mau IKN yg harus dikorbankan dan konsekwensi lanjutannya mangkrak  Jika mangkrak jokowi ke KPK,Very easy  Krn kekuatan politik jokowi di parlemen tak ada  Jika publik mocking soal makan siang gratis yang entah jadi atau nggak itu mau tak mau IKN yg harus dikorbankan dan konsekwensi lanjutannya mangkrak  Jika mangkrak jokowi ke KPK,Very easy  Krn kekuatan politik jokowi di parlemen tak ada  Jika publik mocking soal makan siang gratis yang entah jadi atau nggak itu mau tak mau IKN yg harus dikorbankan dan konsekwensi lanjutannya mangkrak  Jika mangkrak jokowi ke KPK,very easy  krn kekuatan politik jokowi di parlemen tak ada  jika publik mocking soal makan siang gratis yang entah jadi atau nggak itu mau tak mau ikn yg harus dikorbankan dan konsekwensi lanjutannya mangkrak  jika mangkrak jokowi ke kpk,sangat easy karena kekuatan politik jokowi di parlemen tidak ada jika publik mocking soal makan siang gratis yang entah jadi atau tidak itu mau tidak mau ibu kota nusantara yang harus dikorbankan dan konsekwensi lanjutannya mangkrak jika mangkrak jokowi ke kpk,very easy because Jokowi's political power in parliament does not exist if the public mocking about free lunch which whether or not it or not is inevitably the Capital of the Archipelago that must be sacrificed and the consequences are stalled if stalled Jokowi to the KPK,Positive,"['sangat', 'easy', 'karena', 'kekuatan', 'politik', 'jokowi', 'di', 'parlemen', 'tidak', 'ada', 'jika', 'publik', 'mocking', 'soal', 'makan', 'siang', 'gratis', 'yang', 'entah', 'jadi', 'atau', 'tidak', 'itu', 'mau', 'tidak', 'mau', 'ibu', 'kota', 'nusantara', 'yang', 'harus', 'dikorbankan', 'dan', 'konsekwensi', 'lanjutannya', 'mangkrak', 'jika', 'mangkrak', 'jokowi', 'ke', 'kpk']",easy kekuatan politik jokowi parlemen publik mocking makan siang gratis kota nusantara dikorbankan konsekwensi lanjutannya mangkrak mangkrak jokowi kpk,easy kuat politik jokowi parlemen publik mocking makan siang gratis kota nusantara korban konsekwensi lanjut mangkrak mangkrak jokowi kpk
Mon May 13 11:10:40 +0000 2024,@RagilSemar Contohnya warlok disekitar IKN ,in,penemusedotan,Contohnya warlok disekitar IKN,Contohnya warlok disekitar IKN,Contohnya warlok disekitar IKN,contohnya warlok disekitar ikn,contohnya warlok disekitar ibu kota nusantara,for example warlok around the capital city of the archipelago,Negative,"['contohnya', 'warlok', 'disekitar', 'ibu', 'kota', 'nusantara']",contohnya disekitar kota nusantara,contoh sekitar kota nusantara
Mon May 13 11:08:53 +0000 2024,@anindiatiep @ARSIPAJA Penduduk ikn no comment ah yang enjoy jakarta aja yang boleh komen,in,naufaltirto,Penduduk ikn no comment ah yang enjoy jakarta aja yang boleh komen,Penduduk ikn no comment ah yang enjoy jakarta aja yang boleh komen,Penduduk ikn no comment ah yang enjoy jakarta aja yang boleh komen,penduduk ikn no comment ah yang enjoy jakarta aja yang boleh komen,penduduk ibu kota nusantara no comment ah yang enjoy jakarta saja yang boleh komen,the capital of the capital city of the archipelago no comment ah who enjoyed the Jakarta who can comment,Positive,"['penduduk', 'ibu', 'kota', 'nusantara', 'no', 'comment', 'ah', 'yang', 'enjoy', 'jakarta', 'saja', 'yang', 'boleh', 'komen']",penduduk kota nusantara no comment ah enjoy jakarta komen,duduk kota nusantara no comment ah enjoy jakarta komen
Mon May 13 11:07:28 +0000 2024,@T0M5helby Bukankah IKN juga produk @DPR_RI ? Makin aneh aja bernegara ini,in,penemusedotan,Bukankah IKN juga produk    Makin aneh aja bernegara ini,Bukankah IKN juga produk    Makin aneh aja bernegara ini,Bukankah IKN juga produk Makin aneh aja bernegara ini,bukankah ikn juga produk makin aneh aja bernegara ini,bukankah ibu kota nusantara juga produk makin aneh saja bernegara ini,Is not the capital city of the archipelago also the product is even more strange,Positive,"['bukankah', 'ibu', 'kota', 'nusantara', 'juga', 'produk', 'makin', 'aneh', 'saja', 'bernegara', 'ini']",kota nusantara produk aneh bernegara,kota nusantara produk aneh negara
Mon May 13 11:07:20 +0000 2024,Jalan tengah malam ke kota sebelah biar sampai pas di pagi hari eh selama perjalanan malah barengan sama truk IKN yang besar semua anjir ️,in,xlvhlxv,Jalan tengah malam ke kota sebelah biar sampai pas di pagi hari eh selama perjalanan malah barengan sama truk IKN yang besar semua anjir ️,Jalan tengah malam ke kota sebelah biar sampai pas di pagi hari eh selama perjalanan malah barengan sama truk IKN yang besar semua anjir ,Jalan tengah malam ke kota sebelah biar sampai pas di pagi hari eh selama perjalanan malah barengan sama truk IKN yang besar semua anjir ,jalan tengah malam ke kota sebelah biar sampai pas di pagi hari eh selama perjalanan malah barengan sama truk ikn yang besar semua anjir ,jalan tengah malam ke kota sebelah biar sampai pas di pagi hari eh selama perjalanan bahkan barengan sama truk ibu kota nusantara yang besar semua anjing,Jalan midnight to the next city to get right in the morning eh during the trip and even with the big truck of the capital city of the archipelago all dogs,Positive,"['jalan', 'tengah', 'malam', 'ke', 'kota', 'sebelah', 'biar', 'sampai', 'pas', 'di', 'pagi', 'hari', 'eh', 'selama', 'perjalanan', 'bahkan', 'barengan', 'sama', 'truk', 'ibu', 'kota', 'nusantara', 'yang', 'besar', 'semua', 'anjing']",jalan malam kota sebelah biar pas pagi perjalanan barengan truk kota nusantara anjing,jalan malam kota belah biar pas pagi jalan bareng truk kota nusantara anjing
Mon May 13 11:07:19 +0000 2024,sumpah gweh sngt syg sm mu awas klo sakitin hati moengil ku ini lo akan membangkitkan raja iblis!!!,in,ikn0wuu,sumpah gweh sngt syg sm mu awas klo sakitin hati moengil ku ini lo akan membangkitkan raja iblis,sumpah gweh sngt syg sm mu awas klo sakitin hati moengil ku ini lo akan membangkitkan raja iblis,sumpah gweh sngt syg sm mu awas klo sakitin hati moengil ku ini lo akan membangkitkan raja iblis,sumpah gweh sngt syg sm mu awas klo sakitin hati moengil ku ini lo akan membangkitkan raja iblis,sumpah gweh sangat sayang sm mu awas kalau sakitin hati moengil ku ini kamu akan membangkitkan raja iblis,I swear I really love you watching if I hurt my heart you will awaken the Devil King,Positive,"['sumpah', 'gweh', 'sangat', 'sayang', 'sm', 'mu', 'awas', 'kalau', 'sakitin', 'hati', 'moengil', 'ku', 'ini', 'kamu', 'akan', 'membangkitkan', 'raja', 'iblis']",sumpah sayang sm mu awas sakitin hati moengil ku membangkitkan raja iblis,sumpah sayang sm mu awas sakitin hati moengil ku bangkit raja iblis
Mon May 13 11:06:43 +0000 2024,@limwhyu @Mdy_Asmara1701 Pajak² dinaikin diada2in BBM-lustrik-pam benaran ajiib sembako lauk pauk meroket jajan di resto juga makin mehong. Jogetin gemoy aja daahhhh. Keringet rakyat diperezzz buat mbayarin hutang jatuh tempo dan keberlanjutan ikn,in,UnpetitG,Pajak² dinaikin diada in BBM lustrik pam benaran ajiib sembako lauk pauk meroket jajan di resto juga makin mehong  Jogetin gemoy aja daahhhh  Keringet rakyat diperezzz buat mbayarin hutang jatuh tempo dan keberlanjutan ikn,Pajak dinaikin diada in BBM lustrik pam benaran ajiib sembako lauk pauk meroket jajan di resto juga makin mehong  Jogetin gemoy aja daahhhh  Keringet rakyat diperezzz buat mbayarin hutang jatuh tempo dan keberlanjutan ikn,Pajak dinaikin diada in BBM lustrik pam benaran ajiib sembako lauk pauk meroket jajan di resto juga makin mehong  Jogetin gemoy aja daah  Keringet rakyat diperez buat mbayarin hutang jatuh tempo dan keberlanjutan ikn,pajak dinaikin diada in bbm lustrik pam benaran ajiib sembako lauk pauk meroket jajan di resto juga makin mehong  jogetin gemoy aja daah  keringet rakyat diperez buat mbayarin hutang jatuh tempo dan keberlanjutan ikn,pajak naik diada masuk bbm lustrik pam benaran ajiib sembilan bahan pokok lauk pauk meroket jajan di resto juga makin mehong jogetin gemoy saja daah keringet rakyat diperez buat mbayarin hutang jatuh tempo dan keberlanjutan ibu kota nusantara,Tax rises to enter BBM Lustrik Pam Benaran Ajiib Nine staple dishes skyrocketing snacks at restaurants also more and more dancing dancing and people just sweat for people to pay off debt due and sustainability of the capital city of the archipelago,Positive,"['pajak', 'naik', 'diada', 'masuk', 'bbm', 'lustrik', 'pam', 'benaran', 'ajiib', 'sembilan', 'bahan', 'pokok', 'lauk', 'pauk', 'meroket', 'jajan', 'di', 'resto', 'juga', 'makin', 'mehong', 'jogetin', 'gemoy', 'saja', 'daah', 'keringet', 'rakyat', 'diperez', 'buat', 'mbayarin', 'hutang', 'jatuh', 'tempo', 'dan', 'keberlanjutan', 'ibu', 'kota', 'nusantara']",pajak diada masuk bbm lustrik pam benaran ajiib sembilan bahan pokok lauk pauk meroket jajan resto mehong jogetin gemoy daah keringet rakyat diperez mbayarin hutang jatuh tempo keberlanjutan kota nusantara,pajak ada masuk bbm lustrik pam benar ajiib sembilan bahan pokok lauk pauk roket jajan resto mehong jogetin gemoy daah keringet rakyat diperez mbayarin hutang jatuh tempo lanjut kota nusantara
Mon May 13 11:06:24 +0000 2024,@kidult2you smoga bukan di ikn ya kak,in,yangbaikbisa,smoga bukan di ikn ya kak,smoga bukan di ikn ya kak,smoga bukan di ikn ya kak,smoga bukan di ikn ya kak,semoga bukan di ibu kota nusantara iya kak,Hopefully not in the capital city of the archipelago yes sis,Negative,"['semoga', 'bukan', 'di', 'ibu', 'kota', 'nusantara', 'iya', 'kak']",semoga kota nusantara iya kak,moga kota nusantara iya kak
Mon May 13 11:06:02 +0000 2024,Ini probably akan terjadi btw. Arah2nya sudah ke sana. Sampai ada manuver narasi kapan hari yang menyatakan maksi gratis lebih murah vs IKN. Mengorbankan jokowi adalah salah satu cara paling realistik untuk menstabilkan kondisi politik at least in the first 2 years.,in,VeritasArdentur,Ini probably akan terjadi btw  Arah nya sudah ke sana  Sampai ada manuver narasi kapan hari yang menyatakan maksi gratis lebih murah vs IKN  Mengorbankan jokowi adalah salah satu cara paling realistik untuk menstabilkan kondisi politik at least in the first   years,Ini probably akan terjadi btw  Arah nya sudah ke sana  Sampai ada manuver narasi kapan hari yang menyatakan maksi gratis lebih murah vs IKN  Mengorbankan jokowi adalah salah satu cara paling realistik untuk menstabilkan kondisi politik at least in the first   years,Ini probably akan terjadi btw  Arah nya sudah ke sana  Sampai ada manuver narasi kapan hari yang menyatakan maksi gratis lebih murah vs IKN  Mengorbankan jokowi adalah salah satu cara paling realistik untuk menstabilkan kondisi politik at least in the first years,ini probably akan terjadi btw  arah nya sudah ke sana  sampai ada manuver narasi kapan hari yang menyatakan maksi gratis lebih murah vs ikn  mengorbankan jokowi adalah salah satu cara paling realistik untuk menstabilkan kondisi politik at least in the first years,ini probably akan terjadi ngomong arah nya sudah ke sana sampai ada manuver narasi kapan hari yang menyatakan maksi gratis lebih murah vs ibu kota nusantara mengorbankan jokowi adalah salah satu cara paling realistik untuk menstabilkan kondisi politik at least masuk the pertama years,This probably will happen to the direction of the direction there is there until there is a narrative maneuver when the day stated that the free is free vs. the capital city of the archipelago sacrificing Jokowi is one of the most realistic ways to stabilize the political conditions at least enter The First Years,Positive,"['ini', 'probably', 'akan', 'terjadi', 'ngomong', 'arah', 'nya', 'sudah', 'ke', 'sana', 'sampai', 'ada', 'manuver', 'narasi', 'kapan', 'hari', 'yang', 'menyatakan', 'maksi', 'gratis', 'lebih', 'murah', 'vs', 'ibu', 'kota', 'nusantara', 'mengorbankan', 'jokowi', 'adalah', 'salah', 'satu', 'cara', 'paling', 'realistik', 'untuk', 'menstabilkan', 'kondisi', 'politik', 'at', 'least', 'masuk', 'the', 'pertama', 'years']",probably ngomong arah manuver narasi maksi gratis murah vs kota nusantara mengorbankan jokowi salah realistik menstabilkan kondisi politik at least masuk the years,probably ngomong arah manuver narasi maksi gratis murah vs kota nusantara korban jokowi salah realistik stabil kondisi politik at least masuk the years
